Index	Sentence	Surprisal	PPL
382	in the and under.	37.39268159866333	1.7355426147518912e+16
383	a a on the of a.	51.06334590911865	1.5015138961591147e+22
384	when or.	38.34623575210571	4.503587332535576e+16
385	to in both and.	45.86983823776245	8.337150329529855e+19
386	for to.	32.740235328674316	165540224354613.38
387	a an with a of and.	58.2210373878479	1.927859004362397e+25
388	the of on and in.	46.69118118286133	1.8954936823207084e+20
389	a of and as.	43.70087671279907	9.529050108761303e+18
390	the down of.	40.65219211578369	4.5187957659509037e+17
391	a a for with a and.	54.630083084106445	5.3154939642365486e+23
392	of or if.	36.870540618896484	1.0296090128407038e+16
393	to to the or to in while.	60.91416358947754	2.8489518982222102e+26
394	in and there for.	41.402456283569336	9.56881815124083e+17
395	a a with and a.	46.238197326660156	1.205019159455448e+20
396	a to and.	39.28065490722656	1.1464936977205382e+17
397	the on the of the.	47.732521057128906	5.3699532206689216e+20
398	of or.	33.32144498825073	296019068341610.25
399	a a who.	36.8765230178833	1.0357870059403802e+16
400	at puberty the of a into that of a.	73.21739387512207	6.279284195068137e+31
401	like with and.	38.66099452972412	6.169594051430981e+16
402	and and.	31.347122192382812	41103820626100.6
403	a a of that the and.	56.40414333343506	3.133344929727815e+24
404	to against of or.	54.12361526489258	3.203225035959131e+23
405	or to from or.	47.19902753829956	3.1497581698637844e+20
406	a a of where the four.	54.44661998748779	4.4245246485133814e+23
407	a a to an to an.	46.90495204925537	2.3472635183632315e+20
408	a to into.	41.83590602874756	1.4760570170276874e+18
409	the on the can to.	48.538917541503906	1.2027740396424014e+21
410	in the of the and.	43.86273193359375	1.1203209051323453e+19
411	a an as a against.	53.70577621459961	2.1092218241368815e+23
412	and to a after.	41.361520767211914	9.18502266535692e+17
413	can from or.	46.11631965637207	1.06675123039569e+20
414	tear into the of a to.	56.307663917541504	2.845166773399815e+24
415	a a with four.	45.03301668167114	3.6106937008490934e+19
416	a a and a on and or.	57.563838958740234	9.992119445680065e+24
417	for and.	32.605955600738525	144739342212037.34
418	a can a while or.	52.302188873291016	5.182651653022091e+22
419	to to when or.	49.087722301483154	2.082221491641656e+21
420	by and.	31.40498161315918	43552212131924.77
421	some for or the.	51.10723114013672	1.5688754585339716e+22
422	for some or to for.	54.227535247802734	3.5540155637365527e+23
423	a a or for or to.	53.300209522247314	1.4060050475431419e+23
424	a a and to out and and to.	63.059855937957764	2.435271933055163e+27
425	a can for like or.	54.29090118408203	3.7865073293353685e+23
426	the to and at to and.	56.67911911010742	4.1250447914058675e+24
427	an a of from of by.	57.30835247039795	7.739292216633095e+24
428	in where the of the.	48.117637634277344	7.89268021108699e+20
429	in the of a with an.	52.72714805603027	7.927010751446932e+22
430	in the and.	35.28133964538574	2101314813497664.5
431	a a with a that to.	52.27766561508179	5.057101884986573e+22
432	of a and a of.	42.978858947753906	4.628937100704863e+18
433	as and in.	33.49663066864014	352697078058225.1
434	a can to by or.	55.361656188964844	1.1047443570387259e+24
435	the of a of the.	46.22348403930664	1.1874191607193423e+20
436	can or.	35.27627944946289	2090708606220686.2
437	in and.	30.680837631225586	21111470435260.867
438	by and a of.	42.30949640274048	2.370177220296087e+18
439	a in as a.	45.24203681945801	4.450071006515312e+19
440	can and in and or.	54.0496940612793	2.974978828245828e+23
441	to and a for.	42.595951557159424	3.156361320454704e+18
442	but some to the.	42.66395711898804	3.378478448904823e+18
443	a a where a of and.	61.13413095474243	3.549896815104838e+26
444	at and at and.	41.03773498535156	6.644493087486794e+17
445	can to and to for.	49.64586639404297	3.6385288620172666e+21
446	and.	24.411996841430664	39994062455.536705
447	a a from.	40.20475101470947	2.8886938178375955e+17
448	a of and.	38.6279239654541	5.968898935913491e+16
449	as by.	32.34517574310303	111514499987326.81
450	with at the.	41.71724510192871	1.3108993495502776e+18
451	a a.	30.658621788024902	20647632668740.977
452	a a after through.	48.8529839515686	1.646574383732602e+21
453	with and.	32.248380184173584	101226346941892.84
454	from in and.	40.30678653717041	3.199005423282901e+17
455	a by to.	38.750404357910156	6.746628306944528e+16
456	must before can.	45.94739627838135	9.009499417173192e+19
457	as and from.	35.48042392730713	2564202546918506.5
458	from and.	34.6824836730957	1154546098226479.8
459	that a.	33.244616985321045	274128197043792.56
460	for the of and.	43.59582757949829	8.578815973970378e+18
461	and and for.	35.892757415771484	3872812630063541.0
462	can and.	33.03189754486084	221600548252188.7
463	a a that above.	43.07282495498657	5.08499110935933e+18
464	than and at the.	44.299198150634766	1.7333940822341396e+19
465	a of to.	38.484243392944336	5.170047649624193e+16
466	who or up.	41.70167541503906	1.2906471266375393e+18
467	the the in when.	45.76963567733765	7.542237664341987e+19
468	the to and with.	40.54332113265991	4.0526644421695443e+17
469	the for and.	39.484291076660156	1.4054316724307917e+17
470	by in the.	36.11340522766113	4828948937743287.0
471	a a with a for.	48.19548797607422	8.531678482622538e+20
472	a but can of or.	52.75300979614258	8.13469095398735e+22
473	a and a for.	38.44043588638306	4.948450011117705e+16
474	can or or on.	44.97685384750366	3.4134963227770057e+19
475	the of another with.	47.68852472305298	5.138816824442027e+20
476	a because the of.	44.62133169174194	2.3922035409893257e+19
477	in or in.	32.16866397857666	93470218108164.33
478	a a or the.	43.539711475372314	8.110664506708363e+18
479	a from the in.	40.56459999084473	4.1398245592475603e+17
480	a and a of.	39.22209596633911	1.081284174718277e+17
481	as.	23.890737533569336	23747367841.74784
482	at from a.	39.77838134765625	1.885955835199263e+17
483	a a that in and.	51.60299301147461	2.5756990309517194e+22
484	and a.	30.105464458465576	11875094912698.137
485	can the if.	40.86367607116699	5.5830179992859904e+17
486	and.	24.411996841430664	39994062455.536705
487	a an with a.	46.093271255493164	1.0424455004851963e+20
488	the of a and in.	46.8552131652832	2.233369218092394e+20
489	a inside which the.	49.60034418106079	3.4766084254826155e+21
490	and and must after.	44.9709358215332	3.393354820639782e+19
491	the a by of a.	50.362369537353516	7.449020777408599e+21
492	a a to a.	38.8507022857666	7.45839913379284e+16
493	the an and to the.	46.59857177734375	1.7278362747127674e+20
494	the and can.	36.87171936035156	1.0308233712333448e+16
495	that in.	33.083252906799316	233278213560375.03
496	and in and during the.	48.373260498046875	1.0191546866987451e+21
497	and.	24.411996841430664	39994062455.536705
498	and.	24.411996841430664	39994062455.536705
499	the a that in or.	53.78773880004883	2.2893814254486437e+23
500	a of.	32.99015522003174	212540828516252.4
501	by or with into.	48.81886434555054	1.5913415341747088e+21
502	of the or in.	42.72987985610962	3.608702113005607e+18
503	a a that in.	44.651572704315186	2.4656511662789493e+19
504	on or.	31.999611854553223	78932317016609.14
505	and of.	30.99858283996582	29007711952708.883
506	in of and.	38.27756595611572	4.204706395226095e+16
507	a a to and.	44.14789628982544	1.4900050704506208e+19
508	some can a at.	53.479124546051025	1.6814683124139048e+23
509	a can and for of.	50.78973388671875	1.1420921969428499e+22
510	a and on.	32.15021896362305	91761961379343.7
511	a a that on the and a with.	64.32011699676514	8.587601576791971e+27
512	the the around the as through the.	67.69609451293945	2.5121194924174698e+29
513	in and with.	33.4526424407959	337518837937944.1
514	can in and the.	47.39874839782715	3.846049578258072e+20
515	a that from to the and to.	60.16700267791748	1.349575717975921e+26
516	or and and a.	41.58004713058472	1.1428389305078264e+18
517	can in or by or in.	56.84365653991699	4.862799534923746e+24
518	the though can in the.	55.79621124267578	1.7060299606072103e+24
519	a a that a or to.	55.50550031661987	1.2756528474283448e+24
520	the along the of the the.	57.362022399902344	8.166007963061334e+24
521	can by or by an or.	57.206265449523926	6.988201434763599e+24
522	in and.	30.680837631225586	21111470435260.867
523	a and about the.	42.49756479263306	2.8606049365461755e+18
524	a and to.	35.86992359161377	3785383477069416.5
525	and of.	30.99858283996582	29007711952708.883
526	in and.	30.680837631225586	21111470435260.867
527	a for.	33.23178052902222	270631850779138.53
528	the with or.	43.96168327331543	1.2368483691976978e+19
529	on the and can or.	49.214149475097656	2.362835833957224e+21
530	for or of.	38.84041786193848	7.382086882413557e+16
531	a a for and into.	50.26179122924805	6.736255969044413e+21
532	can to after.	41.00331687927246	6.419693007253201e+17
533	the the from the.	45.22362518310547	4.36888757068982e+19
534	the two of and.	43.88327741622925	1.1435765197044566e+19
535	a a with a.	42.41461229324341	2.6328860958201083e+18
536	with a.	30.502142906188965	17656814336557.395
537	on and with.	34.18641757965088	703027819604334.9
538	and can.	29.464848041534424	6257788986045.459
539	a a that and on.	46.30277633666992	1.2854058136639185e+20
540	a can in the by or.	57.54441261291504	9.799882355444021e+24
541	to in the and to.	46.047706604003906	9.960127145396029e+19
542	that between.	37.17405557632446	1.3947205720286298e+16
543	a for the with a an and a.	61.07336950302124	3.3406222270979296e+26
544	of or.	33.32144498825073	296019068341610.25
545	and in and.	37.03586483001709	1.21470754256735e+16
546	a a for and.	44.91893529891968	3.221408003121988e+19
547	a a of the who on.	53.77196931838989	2.2535622343677847e+23
548	a in the must a.	47.874183654785156	6.187194759650143e+20
549	in a a for or.	52.056060791015625	4.051911500262737e+22
550	a as and.	40.54609680175781	4.063928923630267e+17
551	that of a and at one.	52.413771629333496	5.794444324811934e+22
552	the before the of.	45.16555643081665	4.122417091084952e+19
553	for or when in.	41.73336839675903	1.3322066768289718e+18
554	some the for and.	50.633939266204834	9.77328177893595e+21
555	with eight that.	43.57376289367676	8.391600119733457e+18
556	with and to.	36.18832969665527	5204654397796375.0
557	to.	23.695016860961914	19526080314.74314
558	can as a or as a.	50.87991285324097	1.2498715766696626e+22
559	to.	23.695016860961914	19526080314.74314
560	a with and.	39.73792362213135	1.8111772373542637e+17
561	and for and.	38.21823692321777	3.962501173334636e+16
562	to.	23.695016860961914	19526080314.74314
563	a a on the for.	46.90519332885742	2.347829933500312e+20
564	from but.	37.930660247802734	2.972189123419468e+16
565	a that down the a.	53.823097229003906	2.371778486904578e+23
566	in and as.	35.6184024810791	2943578700476255.5
567	a a of with a and.	54.966792583465576	7.443457395519441e+23
568	there around a for to.	58.63294219970703	2.9104708576768093e+25
569	and on a to a.	44.1729621887207	1.527825407080227e+19
570	as to or.	39.95898628234863	2.2592653666798592e+17
571	a an with a that.	48.21500778198242	8.699851200308946e+20
572	for or.	34.80569839477539	1305938578972025.8
573	to when to a.	47.56832504272461	4.5568116656427106e+20
574	can or via or.	52.6267352104187	7.169695352728945e+22
575	the of without.	38.1489315032959	3.6971787004281256e+16
576	to or to to.	40.487321853637695	3.831955597456582e+17
577	a and can with or.	56.092124938964844	2.2935084218682332e+24
578	of and.	31.938605308532715	74260872103810.5
579	a a for.	38.22407913208008	3.985718687552888e+16
580	the in a and.	45.35403871536255	4.977471088372111e+19
