Index	Sentence	Surprisal	PPL
570	as to or.	6.6598310470581055	780.4190718895015
571	a an with a that.	6.026875972747803	414.4183507852681
572	for or.	6.961139678955078	1054.8350457594136
573	to when to a.	6.795475006103516	893.7937162542909
574	can or via or.	7.5181050300598145	1841.0752042260137
575	the of without.	6.358155250549316	577.1806200559051
576	to or to to.	5.783903121948242	325.0253313631596
577	a and can with or.	7.0115156173706055	1109.3345581462981
578	of and.	6.387721061706543	594.500205444793
579	a a for.	6.37067985534668	584.4550387363558
580	the in a and.	6.4791483879089355	651.4159562819394
581	a on the a within and.	6.70000696182251	812.4114810123913
582	bread to with like or.	7.448764801025391	1717.7400836540492
583	the a and with a.	5.92046594619751	372.58527813083305
584	a and from to as.	6.386345863342285	593.683211627751
585	can to or as.	6.860222339630127	953.5790623388997
586	there of with and.	7.020359516143799	1119.1889119083228
587	a a of that between on a.	6.643354415893555	767.6657491067067
588	the by a by or.	7.0593695640563965	1163.7112890413875
589	a of or over.	6.1496429443359375	468.5500584591621
590	between and inside a.	6.646085262298584	769.7649914074688
591	a a where on or off a.	5.905725955963135	367.1336519328295
592	or for.	6.264468193054199	525.5620140972397
593	there and to in a.	6.30568790435791	547.6782088571317
594	or from a next to the.	5.7607011795043945	317.5709250926593
595	a a over.	6.78802490234375	887.1596034278058
596	can and.	6.606379508972168	739.7997259587586
597	can and.	6.606379508972168	739.7997259587586
598	a can and.	6.468466758728027	644.4948029977455
599	the an with four that with a.	7.103335857391357	1216.01677467184
600	the and in.	6.050419807434082	424.2911132253742
601	a the between the and the.	5.757669925689697	316.60974454162505
602	by the with one while.	6.5550336837768555	702.7728214671731
603	on the of.	5.695253849029541	297.4522919787593
604	a without for.	7.30928897857666	1494.1144640331968
605	to for without.	6.344168186187744	569.1637544821591
606	but may the or.	7.316928863525391	1505.5730420130474
607	a a that and an.	6.0685200691223145	432.0408176675984
608	a the and the into.	5.974731922149658	393.3626351455509
609	of or as.	6.323551177978516	557.5494383060945
610	a to of or.	6.525898456573486	682.5927781990634
611	the on 70% of.	6.59662389755249	732.6176171962383
612	and must in to.	6.508223056793213	670.6336802293334
613	at a and.	6.047158241271973	422.9095140010006
614	that from in the which.	5.874910831451416	355.9929158838663
615	a a that in the.	6.061164855957031	428.87472328068304
616	through on when.	6.663473606109619	783.26697812822
617	the in a as an and as.	5.899728775024414	364.93847401242857
618	for and.	6.521191120147705	679.3871352895786
619	a a in a to.	5.873022556304932	355.32133757034484
620	a of of in by.	6.5334062576293945	687.7368350949475
621	when a will and.	6.392890453338623	597.5813668356583
622	some to.	7.28964900970459	1465.056386376363
623	a a.	6.1317243576049805	460.2290763562221
624	a as a.	6.520707130432129	679.0583984622426
625	a can and.	6.468466758728027	644.4948029977455
626	a than a.	6.594223976135254	730.8615005998804
